,text,article_id,clean_category
0,Bekjendtgjørelser. Overfarten fra Rødbye Femmern og Holsteen.,lol_60633,Bekjendtgjørelser
1,Endeel fine og andre ternede Tørklæder med flere Slags Kjøbmandsvare. Credit gives til 1ste Junii dette Aar. Nyekjøbing den 19de Febr. 1814. Broch.,lol_12841,Bekjendtgjørelser
2,"Undvigte. Da Reserven Christen Madsen Saltvig af Lægd, som sidst opholdt sig hos Hr. Forpagter Licht paa Bremmersvold, den første Pindsedag d. A. skal have forladt sin Tjeneste, hvilket af Lægdsforstanderen er anmeldt for Stiftet; saa efterlyses herved bemeldte Reserve, som ikkuns er klein og liden af Vext omtrent 19 Aar gammel, med Anmodning om, at hvor han maatte findes han da maatte anholdes og Stiftet derom vorde underrettet, ligesom alle og enhver advares ikke at huse eller hæle ovenmeldte Reserve, saafremt de vil undgaae Straf efter Anordningerne.",lol_08919,Bekjendtgjørelser
3,"Dette bekjendtgjøres herved, saavel til Liebhavernes som, i Overeensstemmelse med Placaten af 22de April 1817, til Pantecreditorernes Efterretning. Nakskov, den 31te Mai 1827. Schmensen.",lol_52440,Bekjendtgjørelser
4,"Funden. Af en Soldat her paa Byens Gade, er funden en Guld Brystnaal, som Eieren, imod billig Findeløn, og dette Avertissements Betaling, kan hos Undertegnede bekomme. Stubbekiøbing den 14de August 1811.",lol_06887,Bekjendtgjørelser
5,"De, som have noget at fordre i Stervboet efter afdøde Examinatus juris Conrad Hansen i Huuseby, under Grevskabet Knuhtenborgs Skiftejurisdiction, indkaldes herved med 12 Ugers Varsel til derom at melde dem for mig, som committeret Skifteforvalter. Knuhtenborg, den 17de October 1832. Gram.",lol_68265,Bekjendtgjørelser
6,"Skifter. J Følge dertil meddeelt Kongelig allernaadigst Bevilling af 15de d. M., indkaldes herved, med Aar og Dags Varsel, sub poena præclusi & perpetui silentii, alle de, der maatte have Noget at fordre i den her i Byen værende Kjøbmand Nicolai Christian Fogts Fallitboe, til med deres Paastand at fremkomme, og saadant deres havende Krav, forinden foreskrevne Tids Forløb, for undertegnede Skifteret at anmelde og beviisliggjøSkiftesamlinger ere berammede at afholdes paa denne Byes Raadstue, Løverdagen den 26de April den 28de Junii og den 20de September dette Aar. om Formiddagen Klokken 11 slet, til hvilke Tider de, der have Noget at fremme, ville behage at møde. Nakskov Skifteret, den 22de Martii 1817.",lol_19512,Bekjendtgjørelser
7,"At Greenskabet Hardenborg Reventlous østre Districts Birketing, til større Beqvemmelighed for alle Vedkommende, for Eftertiden holdes i den dertil af Hs. Excellence Hr. Geheimeconferentsraad Greve af Hardenberg Reventlov, Storkors af Dannebrogen, tæt sønden for denne Bye, ved Veien til Hardenberg, af Kampesteensmuur opførte Bygning, og første Gang administreres sammesteds Mandagen den 29de dennes; dette bringes herved til offentlig Kundskab.",lol_29282,Bekjendtgjørelser
8,"Dette bekjendtgjøres herved, i Overeensstemmelse med Anordningerne, til Efterretning for Panthaverne. Pederstrup, den 13de August 1835. Aggerup.",lol_75299,Bekjendtgjørelser
9,"Creditorerne i efternævnte Stervboer, nemlig: 1. efter Huusmand Poul Johansen i Torrig, Anne Jensdatter, d. Christen Rasmussens Huustroe i Raunsby, Jacob Pedersen Dues Enke, Grethe Hansdatter i Halsted, Jndsidder Peder Jensen i Heyringe, Gid. Lars Sørensen i Nøbbølle, Magdalena Sophia Jørgensen, Hid. Jens Knudsens Huustroe i Rudbjerghuset, Hmd. Anders Rasmussen i Halsted, Sid. Lars Eriksen i Torrig, Anne Mikkelsdatter, d. Niels Olsens Huustroe i Høyfjelde, Hmd. Peder Madsen i Nøbbølle, indkaldes herved med 12 Ugers Varsel, i Overeensstemmelse med Placaten af 26de October 1792, til at anmelde og beviisliggjøre deres Fordringer for undertegnede Skifteforvalter. Juellinge, den 29de September 1831. Rostrup.",lol_65226,Bekjendtgjørelser
10,"Christianssæde. Tilkiøbs forlanges. Skulle nogen have godt hjemme avlet Hampefrøe, af forrige Aars Grøde at sælge, da modtages det i Østofte Præstegaard for 2 Rd. Skp. af Dyssell. Gode Hareskind betales nu med 1 Rdlr. Stykket. Mariboe den 18de Januarii 1810.",lol_02094,Bekjendtgjørelser
11,"Tjeneste ledig. En Dreng, som skriver og regner godt, kan strax faae Condition paa en Embedsmands Contoir her i Stiftet. Det Nærmere kan aftales paa Addressecontoiret. Addressecontoiret anviser hvor en Dreng af god Familie kan blive antaget i Snedkerlære.",lol_58320,Bekjendtgjørelser
12,"Bekjendtgjørelser. At min gode retskafne Mand Cancellieraad, Branddirecteur Niels Broch, forhen Borgemester og Byefoged m. v., afgik ved Døden, af et apoplectisk Tilfælde, og efter faa Dages Sygeleie, den 16de Novbr. d. A., i sit 70de Aar og nogle Maaneder, bekjendtgjøres herved sørgeligst, for fraværende Familie og Venner, af hans efterladte Enke. Nyegaard ved Nykjøbing paa Falster, den 21de Nov. 1835. Frederikke C. Sal. Broch, fød Thusen. 3 Regnskab for de til Nr. Ørslefs Brandlidte indkomne Gaver: 1. Af Nr. Ørslefs Sogn gaves Korn, Fødevare, Foder, Uldent og Linned, og desuden ydedes megen Hielp med Kjørsler og Arbeide, men derfor i Penge Intet; 2 af Pastoratet, 2de andre Sogne, Karlebye og Horrebye, 60 Rbd. 6 s.; 3. af Frøken Classen paa Eiegod 5 Rbd.; 4 af Tingsted Sogn, 24 Rbd.; 5, af en H. i Kjøbenhavn 10 Rbd.; 6 af Commandeur og Ridder Bille i Danzig 1 Rbd. Sølv, d. 1 Rbd. 3 s.; 7. af Horbelef Pastorat 58 Rbd. 5 Mk.; 8 af H. H. Biskoppen 2 Rbd.; 9. af Systofte Sogn 11 Rbd. 4 Mk.; 10. af Veggerløse Sogn 20 Rbd. 4 Mk. 9 s.; 11. af S. Kirkebye Pastorat, hvorunder Corselize Gaard, 1 Spec. og 33 Rbd. 4 Mk. 12 s., desuden af Forpagter Nyeholm 1 Td. Sæderug og 1 Læs Langhalm; 12. af Stadager Pastorat 1 Sølvdaler og 6 Rbd. 2 Mk. 10 s.; 13 af Jdestrup Sogn, 44 Rbd. 3 Mk. 12 s.; 14, af Gunslef Sogn 7 Rbd. 4 Mk. 12 s.; 15. af Vaalse Sogn 17 Rbd.; 16, af MaglebrændeSogn og Hr. Pastor Fog i Stubbekjøbing 9 Rbd. 3 Mk. 8 s. 17. af Hr. Pastor Lund i Riserup 1 Rbd.; 18, af Skjelbye. Pastorat 9 Rbd. 5 Mk. 14 s.; 19. af Provstinde Nyerop. 2 Rbd.; 20. af Eschildstrup Sogn 11 Rbd. 1 s.; 21, af Aastrup Sogn 11 Rbd. 3 s.; 22, af Hr. Pastor Giessing i Torkildstrup 4 Rbd. Er: 1 Spec., 1 Sølvdaler og 351 Rbd. 3 Mk. 10 s. Deraf er tildeelt den Mand, som fik Noget af sit Jndboe reddet, 150 Rbd. og 1 Sølvdaler, og den meere Uheldige, som fik Jntet reddet, 200 Rbd. og 1 Spec. For denne store Bistand i Nøden, hvorved det blev mueligt, at nye Boliger allerede staae reiste, føles mod de kjærlige Givere undsigelig Erkjendtlighed og Taknemmelighed. Karlebye Præstegd. den 16de Novbr. 1835.",lol_75978,Bekjendtgjørelser
13,"Alle de, som endnu staaer tilbage med Beløbet forkjøbt paa Frøken v. Wichseldts Auction i Mariboe den 24de April d. A., ville behageligen erindre dem Conditionernes Jndhold. Engestofte den 29de Maji 1813. T. Gjerding. Peder Madsen Væver, der for faae Dage siden skal være forflyttet fra Mariboe, ville behage at afhente sit paa Auctionen den 22de December f. A. kjøbte Brænde paa Engestofte Bøgeskov inden 8te Dage fra denne Bekjendtgiørelses Dato, imod at betale Kjøbesummen 112 Rd. 2 Mk. 7 s. D. C. derfor, da det ellers bliver bortsolgt ved offentlig Auction paa hans Gevinst eller Tab.",lol_11247,Bekjendtgjørelser
