,newspaper,year,count_nsp
0,aal,1818,150
1,aal,1819,158
2,aal,1820,152
3,aal,1821,163
4,aal,1822,163
5,aal,1823,174
6,aal,1824,196
7,aal,1825,199
8,aal,1826,192
9,aal,1827,191
10,aal,1828,203
11,aal,1829,199
12,aal,1830,206
13,aal,1831,206
14,aal,1832,203
15,aal,1833,206
16,aal,1834,206
17,aal,1835,214
18,aal,1836,212
19,aal,1837,204
20,aal,1838,228
21,aal,1839,257
22,aal,1840,261
23,aal,1841,267
24,aal,1842,265
25,aar,1794,101
26,aar,1795,104
27,aar,1796,93
28,aar,1797,97
29,aar,1798,99
30,aar,1799,100
31,aar,1800,93
32,aar,1801,93
33,aar,1802,83
34,aar,1803,105
35,aar,1804,89
36,aar,1805,101
37,aar,1806,105
38,aar,1807,76
39,aar,1808,92
40,aar,1809,100
41,aar,1810,80
42,aar,1811,186
43,aar,1812,200
44,aar,1813,153
45,aar,1814,101
46,aar,1815,136
47,aar,1816,153
48,aar,1817,153
49,aar,1818,148
50,aar,1819,134
51,aar,1820,190
52,aar,1821,166
53,aar,1822,192
54,aar,1823,185
55,aar,1824,170
56,aar,1825,167
57,aar,1826,168
58,aar,1827,183
59,aar,1828,206
60,aar,1829,205
61,aar,1830,209
62,aar,1831,209
63,aar,1832,208
64,aar,1833,208
65,aar,1834,208
66,aar,1835,208
67,aar,1836,228
68,aar,1837,227
69,aar,1838,208
70,aar,1839,212
71,aar,1840,209
72,aar,1841,225
73,aar,1842,221
74,aar,1843,230
75,aar,1844,239
76,aar,1845,232
77,lol,1809,80
78,lol,1810,101
79,lol,1811,102
80,lol,1812,90
81,lol,1813,94
82,lol,1814,84
83,lol,1816,97
84,lol,1817,98
85,lol,1818,98
86,lol,1819,101
87,lol,1820,98
88,lol,1821,98
89,lol,1822,102
90,lol,1823,100
91,lol,1824,101
92,lol,1825,101
93,lol,1826,102
94,lol,1827,103
95,lol,1828,104
96,lol,1829,103
97,lol,1830,104
98,lol,1831,103
99,lol,1832,103
100,lol,1833,105
101,lol,1834,103
102,lol,1835,104
103,lol,1836,110
104,lol,1837,151
105,lol,1838,150
106,ode,1809,202
107,ode,1810,185
108,ode,1811,177
109,ode,1812,176
110,ode,1813,185
111,ode,1814,175
112,ode,1815,196
113,ode,1816,172
114,ode,1817,167
115,ode,1818,181
116,ode,1819,174
117,ode,1820,174
118,ode,1821,174
119,ode,1822,177
120,ode,1823,185
121,ode,1824,186
122,ode,1825,184
123,ode,1826,190
124,ode,1827,191
125,ode,1828,204
126,ode,1829,192
127,ode,1830,194
128,ode,1831,199
129,ode,1832,213
130,ode,1833,209
131,ode,1834,212
132,ode,1835,211
133,ode,1836,235
134,ode,1837,233
135,ode,1838,225
136,ode,1839,231
137,ode,1840,241
138,ode,1841,241
139,ode,1842,218
140,ode,1843,218
141,ode,1844,223
142,ode,1845,257
143,ode,1846,277
144,ode,1847,293
145,ode,1848,263
146,thi,1824,33
147,thi,1825,64
148,thi,1826,104
149,thi,1827,100
150,thi,1828,105
151,thi,1829,101
152,thi,1830,105
153,thi,1831,106
154,thi,1832,119
155,thi,1833,141
156,thi,1834,140
157,thi,1835,154
158,thi,1836,141
159,thi,1837,153
160,thi,1838,151
161,thi,1839,157
162,thi,1840,144
163,thi,1841,142
164,thi,1842,151
165,thi,1843,153
166,thi,1844,153
167,thi,1845,155
168,thi,1846,153
169,thi,1847,153
170,thi,1848,160
171,vib,1809,107
172,vib,1810,103
173,vib,1811,104
174,vib,1812,104
175,vib,1813,104
176,vib,1814,105
177,vib,1815,104
178,vib,1816,155
179,vib,1817,155
180,vib,1818,156
181,vib,1819,156
182,vib,1820,157
183,vib,1821,157
184,vib,1822,154
185,vib,1823,157
186,vib,1824,157
187,vib,1825,156
188,vib,1826,156
189,vib,1827,156
190,vib,1828,158
191,vib,1829,157
192,vib,1830,164
193,vib,1831,158
194,vib,1832,160
195,vib,1833,155
196,vib,1834,157
197,vib,1835,157
198,vib,1836,157
199,vib,1837,158
200,vib,1838,164
201,vib,1839,189
202,vib,1840,209
203,vib,1841,210
204,vib,1842,205
