,article_id,date,text
264863,ode_023787,1814-09-30,"Paa Adressekontoiret faaes : Figurer til Tegneøvelser, efter Thorvaldsen, med poetisk Forklaring af Professor Oehlenschlager, 1ste og 2det Hefte 4 Rbd 2 Mk. indheftet."
151177,aal_066100,1828-05-19,"Hos Bogtrykker Wandall, boendes paa Hjørnet af Urbansgade og Vestergade No. 104, faaes følgende Skrifter for vedsatte Priser: Fransk Grammatica, anden forbedrede Udgave, af Professor F. C. Bruun, indb. 2 Rbd. - Fransk Stiiløvelse Bog, indb. 2 Rbd. - Naturrettens eller den almindelige Retslæres Grundsætninger, ved Professor J. F. W. Schlegel, 2de Dele, indb. 2 Rbd. 3 Mk. - D. August Hermann Niemeyers Haandbog for christelige Religionslærere, 2de Dele, indb. 2 Rbd. - Haandbog i Moralen for Borgerstanden, af D. Carl Friedr. Bahrdt, oversat af Tysk, indb. 2 Mk. - Advarsel til de Studerende, i Henseende til deres Sundhed, oversat af Tysk, indb. 1 Mk. 8 s. - Bidrag til rigtige Religions=Begreber, samlet af de bedste Religions=Bøger til Ungdommens Nytte, indb. 2 Mk. - Landsbyen Agnielus, af J. B. Pallin, oversat af Fransk ved J. K. Høst, indb. 1 Mk. 8 s. - Underretning om de bedste Redningsmidler for Skindøde, af Dr. C. C. Mangor, indb. 2 Mk. 8 s. - KortJordbeskrivelse, især til Brug i Almueskolerne, ved Pastor Sadolin, indb. 1 Mk. 8 s. Til Efterretning bekjendtgjøres Vedkommende herved, at Remonte-Commissionen, i Anledning af det danske Cancellies foretagne Forandring med Horsens St. Hansmarked, ikke kan være tilstede i Horsens og Thisted paa disse Dage, som ere bekjendtgjorte i Commissionens Avertissement af 15de April d. A., men at samme derimod til Jndkjøb af Remonteheste opholder sig: i Nyekjøbing paa Morsøe, den 10de Juni, udenfor for Markedstiden, i Thisted den 11te Juni, udenfor for Markedstiden og i Horsens fra den 16de til 18de Juni inel. Kiel i Remonte-Commissionen den 13de Mai 1828. v. Thienen, C. W. v. Duting, Kammerherre, Oberst og PræKammerherre, Premier=Major ses i Remonte-Commissionen, i det holsteenske Landseneer-ReRidder af Dannebr. og Dangiment og Medlem i Remontenebrogsmand. Commissionen."
379019,ode_138229,1839-07-05,"Placat. Fredagen den førstkommende 26 Julii, Formiddag Kl. 10, bliver i afdøde Bogtrykker Dons's Boes Gaard her i Byen foretaget Auction over de fornævnte Boe tilhørende Forlagsskrifter, samt over en stor Deel andre Bøger, deels indbundne og deels i raae Materie, hvorover trykte Cataloger forinden ere at erholde paa Bogtrykkeriet, Conditionerne erfares ved Auctionen. E. Selmer, Viborg den 26 Juni 1839. const."
483748,thi_040569,1839-11-14,"J disse Dage er paa Boghandler Høst's Forlag udkommen Formularer for Domsacter og Regler for disses hensigtsmæssige Affattelse, en Veiledning til den Juridiske examen practicum af V. P. N. Møller, Cand. juris. Vi vide ikke nogen bedre Anbefaling, 81 at slaae for denne Beg, end at vi antage, at den indeholder en fuldstændig Veiledning for dem, der agte at underkaste sig den nævnte Examen, og at man i samme vil kunne finde Alt, hvad der for Tiden udfordes med Hensyn til det Formelle ved Affattelsen af de i Forordningen af 26de Januar 1801 befalede practiske Spetiming. (Kbvnsp.) Ved at meddele den af Kongens Foged afsagte Kiendelse, bekjendtgiør Redactionen af Almindelig Commissionstidende"", at denne vedbliver at udgaae, indtil Domstolene og Tiden bringer det afgjørende Resultat. Den 1ste De om Aftenen indtraf det tid paa det kongelige Theater, at Jfr. Fjeldsted kort for hun skulde udføre Cachucha forstuvede sin ene Fod, saa at hun ikke kunde dandse."
369240,ode_128401,1837-11-13,"Fra Rentekammeret er under 5 October udkommet en Plakat, hvorved ifølge allerhøieste Resolution af 14 Juni d. A. Jnstructioner for de Veiopsynsmænd og Veimænd, der ere eller blive ansatte under Jngenieurkorpset, bringes til offentlig Kundskab. Jfølge et Kancellie=Svar af 12 Septbr. bør Plakaten, af 19 April 1805 forstaaes derhen, at det er ogsaa udenfor Skiftetilfælde, at Auctionsretten over Militaires Eiendele er overdraget de civile Retsbetjente, og at som Følge heraf en Militair, der lader noget bortsælge ved Auction, bør dertil afbenytte den civile Auctionsforvalter; forsaavidt derimod angaaer de Auctioner, ved hvilke ikke privateEiendele bortsælges, men Armeen afhænder Heste, Jnventariisager, Munderingsstykker eller deslige Ting, maae de militaire Betiente være berettigede til at afholde samme. For Høiesteret svæver i denne Tid en interessant Sag, imellem Silke=, Ulden= og Klædekræmmerlauget i Kjøbenhavn og endeel Skrædermestere, fordi de gjøre det fornødne Tillæg til de Klæder de sye, hvilket Citanterne formene at stride imod deres Laugsartikler og paastaae, at Kunderne selv skulle besørge det kjøbt hos vedkommende Handelsberettigede og dem leveret."
479030,thi_035846,1838-05-10,"Ao. 1838. No. 53. THISTI Kongelig allernaadigst privilegerede. Amtvaviv og Avertissementstidende, eller Den nordcimbriske Tilskuer. Forsendes med Brevposten overalt i Danmark og Hertugdømmene. Torsdagen den 10de Mai. Redigeres, trykkes og udgives i Thisted af J. G. Lund."
647239,vib_132187,1835-07-21,"Under Titel: Liftige Paafund af Smuglere, udkommer med det Første en Samling af deels oversatte, deels ikke forhen trykte underholdende Anckdoter, samlede af Undertegnede. Prisen for et heftet Exemplar skal ikke overstige 3 Mk. Tegn."
595090,vib_079924,1824-11-15,"Conditionerne til Forpagtningen skal inden den 13de November d. A. vorde henlagt til Eftersyn, i Kjøbenhavn hos Statstidendens Udgiver, i Slagelse hos Hr. Postmester Lundager i Nyborg hos Hr. Gjæstgiver Scharl, borg, i Odense hos Hr. Bogtrykker Hempel, i Kolding, hos Hr. Bogbinder Melbye i Ribe hos Hr. Bogtrykker, Hyphoff, i Horsens paa Postgaarden, i Aarhuus hos Hr. Krigsraad Ahnfeldt, i Viborg hos Hr. Amtstuefuldmægtig Jngstrup, i Aalborg hos Hr. Giæstgiver, Brünnes i Hobroe hos Hr. Postmester Brendstrup, i Grenaae hos Hr. Cancellieraad Aagaard i Randers hos Hr. Gjæstgiver Rydell, samt paa Schjervad og paa Scheels Skriverstue. Sluttelig bemærkes: at Forpagtningen alternativ opbydes, enten i Overeensstemmelse med Conditionerne eller uopsigelig fra begge Sider, i de fastsatte 7 Aar. Liebhaverne indbydes til Møde paa Scheel bemeldte Dag og Tid."
341615,ode_100661,1831-09-22,"En Parcel paa omtrent 20 Tdr. Land i 11000 9 Alen, god Bonitet og beliggende i en behagelig Egn, er underhaanden at faae tilkjøbs strax. Nærmere Oplysning desangaaende erfares paa Adressekontoiret. Boelsted til Salg. Et i Ulbølle Sogn imellem Faaborg og Svendborg beliggende Boelsted, Spaanehøi kaldet, der staaer for Hartkorn Ageog Eng cirka 2 Tdr. og som hidtil haver været beboet af Rasmus Hansens Enke, kan erholdes tilkjøbs paa fordeelagtige Vilkaar for Kjøberen, naar Lysthavende henvende sig til Dyrlæge Erichsen i Egeskov Bye. Til Stedet er circa 30 Tdr. Land udmærkede gode Jorder, og holdes der 2 Heste, 4 Køer 4 Faar, foruden Ungevæg. Det kan tiltrædes 1 Novbr. d. A. Efter passeret Dom og Udlæg samt Vedkommendes Begjæring, bliver det Huusmand Lars Rasmussens Efterleverske Margrethe Jørgensdatter, tilhørende Huus i Nyebølle med tilliggende Jord, 5 Skpr. 1 Alb. Hartkorn, stillet til Bortsalg ved 3 Auctioner: Den 29 Septbr. samt 13 Octbr. og 27 Octbr. førstkommende, hver Gang Kl. 11 om Formiddagen. Deførste Auctioner afholdes paa Raadhuset i Faaborg og den 3die paa Stedet, som bortsælges. Konditioner og Adkomster er forud til Eftersyn hos Hr. Prokurator Holm paa Sorgenfri, ved Svaninge. Thi ville Lysthavende sig til Tid og Sted behageligst indfinde. Salling Herredskontoir, Faaborg den 29 August 1831. Viborg. Efter Skifterettens Foranstaltning, stilles det Bødker Hans Mathiesens og afdøde Hustrues fælleds Boe tilhørende Huus, beliggende i denne Byes Klostergade under No. 203 Litr. B. og bestaaende af et 2 Etages Forhuus til Gaden, et 1 Etaget Baghuus samt Gaardsplads og Hauge, til Bortsalg ved Auction den 30 Septbr. samt 14 Octbr. og 29 Octbr. førstkommende, hver Gang Kl. 11 om Formiddagen. De 2 første Auctioner afholdes paa Byens Raadhuus og den sidste Huset, som sælges. Konditioner og Adkomster ere forud til Eftersyn her paa Kontoiret. Thi ville Lysthavende sig til Tidog Sted behageligen indfinde. Byefogedcontoiret, Faaborg den 29 August 1831."
476859,thi_033672,1837-07-06,"No. 78. Ao. 1837. THISTI Kongelig allernaadigst privilegerede. Amtsavis og Avertissementstidende, eller: Den nordcimbriske Tilskuer. Forsendes med Brevposten overalt i Danmark og Hertugdømmene. Torsdagen den 6te Juli. Redigeres, trykkes og udgives i Thisted af J. S. Lund."
