text,text
(J Udgiverens Fraværelse redigeret af Carl Bagger.),30
Chr. Deichmanns Fabrications=Handels DampChocolade=Fabrik ved Kjøbenhavn erholdes til Fabrikpriserne fra 2 Mk. 4 s. til 8 Mk. pr.,19
"Dette kundgjøres i Overeensstemmelse med Placaten af 22de April 1817, saavel til Panthavernes som Liebhavernes Efterretning.",17
Hvorefter de Vedkommende sig allerunderdanigst have at rette og for Skade at tage vare.,15
Chocolade udarbeidet til den fuldkomneste Fiinhed i P.,15
"J Hr. Etatsraad, Borgermester Reimuths Forfald N. Petersen, const.",14
"Nykjøbing paa Falster, den 20de Juli 1833. Møller.",14
"Conditionerne bekjendtgjøres ved Auctionen, hvortil de Lysthavende indbydes.",13
"Conditionerne erfares ved Auctionen, hvortil de Lysthavende indbydes.",12
"Nakskov Skifteret, den 2den Februar 1832. Pontoppidan. Hammerich.",11
"For dem som ønske at reise til eller fra Kjøbenhavn, ere passende Landbefordringer oprettede.",10
Subscription modtages paa Addressecontoiret i Mariboe.,10
"Hos Compagniets Commissionairer, der ere forsynede med Policer, og authoriserede til at antage de Forsikkringer, som maatte begieres, findes tillige Tabeller, der nøiere udvise hvilken Præmie, der efter forberørte Omstændigheder er at erlægge.",9
"J Auctionsdirecteurens Fraværelse. Davidsen, const.",9
Hvilket herved til Liebhaberes Efterretning bekjendtgjøres.,9
"Hvilket, i Overeensstemmelse med Placaten af 22de April 1817, bekjendtgjøres.",9
"Nysted Byefoged-Contoir, den 7de Septbr. 1826. Prom.",9
"Chocolade, udarbeidet til den fuldkomneste Fiinhed i B.",8
"Hads og Ning Herreders Contoir, d. 28de August 1829. Lanng.",8
"Hann Herredernes Contoir paa Skjerpinggaard, den 18de November 1837. C. W. Qvistgaard.",8
"Fuglse Herreds Contoir i Rødbye, den 17de Mai 1832. S. Jbsen.",8
"Dette kundgjøres i Overeensstemmelse med Placaten af 22de April 1817, saavel til Panthavernes som Liebhaberes Efterretning.",8
"Til Efterretning for dem, som maatte ønske Sikkerhed imod Tab ved Jldsvaade af deres rørlige Eiendomme, bekjendtgjøres herved af undertegnede Direction.",8
"Bekjendtgjørelser. Til Efterretning for dem, som maatte ønske Sikkerhed imod Tab ved Jldsvaade af deres rørlige Eiendomme, bekjendtgjøres herved af undertegnede Direction.",8
"Conditionerne erfares ved Auctionen, hvor Lysthavende indbydes at møde.",8
"Hos Undertegnede er indleveret til Forhandling: Jntet Stridsskrivt imod Etatsraad Ørsted, men anden Mening, end hans Mening, om vort nuværende Pengevæsen, især med Hensyn til Jndulten og Sølvværdiesystemet, ved Erik Møller, Capitain og Eier af Møllerup og Taarupgaard. Første",8
"J Hr. Kammerraad Rods Fraværelse, Hammershøi, constitueret.",8
"Enhver, som leverer 1,000 Alen paa een Gang, erholder 1/2 s. Rabat pr. Alen. Varerne maa være mærkede med Eierens Navn, tilligemed Alenmaal og Bredde, desforuden hankede ved hver 4de Alen. De Varer, som leveres til den saakaldte første Bleg, nemlig inden 15de Mai, kunne ventes Eierne tilbageleverede inden 15de August og mueligen tidligere, hvorimod senere til Blegning leverede Varer ei kunne ventes forinden 15de September eller inden 15de October d. A.",7
"Mariebo Skifteret, den 7de September 1833. Valentin.",7
Bekjendtgjørelse fra den kgl. Direction for Qvarantaine-Foranstaltningerne.,7
Bestyrelsen er vedkommende Eiere ansvarlig for Varernes Behandling og Tilbagelevering.,7
"Chr. Deichmans & Comps. Fabrik ved Kjøbenhavn, falholdes til Fabrikpriser hos Hr. J. H. Heidenheim i Nysted og hos Hr. L. Wilchen i Mariebo.",7
Subskription modtages paa Addresse-Contoiret i Mariboe.,7
"Her paa Adresse=Contoiret faaes tilkiøbs: Linieret Papiir til Auctionsforretninger, a Bog 2 Mk.",7
Conditionerne ere forinden Auctionerne at erholde til Eftersyn her paa Contoiret.,7
"Paa Gravensgade No. 121 i Stuen til Høire, modtages sin og grov Linnedsyening; ligeledes modtages til Brodering, Kraver, Tørklæder, Garneringer, Kapper, m. m.; Alt til de billigste Priser.",7
"Nysted Kjøbstads Skifteret, den 1ste August 1829. J. Schwensen.",7
"Nakskov den 14de Julii 1812. Schwensen, Skifteforvalter.",7
Nyekjøbing Byes Skifteret den 22de September 1837. Rummelhoff.,7
Hvilket herved til de Lysthavendes Efterretning bekjendtgjøres.,7
"Nakskovs Skifteret, den 31te Marts 1828. Pontoppidan. Schwensen.",7
"Conditionerne erfares ved Auctionen, hvor Lysthavende indbydes til at møde.",6
"Viborg, den 15de April 1825. Bastrup, const. Auctionsdirecteur.",6
"Falster Birks Contoir i Nykjøbing, den 19de Juni 1827. C. G. Krüger.",6
"Nykjøbing paa Falster, den 14de Februar 1835. Møller.",6
"Store Hollandske Agurker nedlagt i Salt og Specerier, friske og velsmagende, sælges a 8 Rbmk. Lpd., ogsaa i stykkeviis til billig Priis hos Feldbereder og Handskemager Floridong.",6
"Denne Bekjendtgjørelse tjener, i Følge Placaten af 22de April 1817, til Efterretning for vedkommende Panthavere.",6
"Nykjøbing paa Falster, den 13de Marts 1832. Møller.",6
"Nakskov, den 16de April 1829. Pontoppidan, constitueret.",6
"Nakskov, den 15de Januari 1823. Schwensen, Auctions-Directeur.",6
