Source,Target,Weight,PathID
ode,aal,24,ode_aal
ode,aar,23,ode_aar
ode,vib,20,ode_vib
ode,thi,19,ode_thi
aar,aal,18,aar_aal
ode,lol,17,ode_lol
aar,ode,16,aar_ode
aar,vib,15,aar_vib
aal,ode,13,aal_ode
vib,thi,13,vib_thi
aal,vib,13,aal_vib
vib,ode,12,vib_ode
lol,aar,12,lol_aar
aar,lol,11,aar_lol
aal,lol,11,aal_lol
aal,aar,10,aal_aar
thi,ode,10,thi_ode
vib,aal,10,vib_aal
lol,aal,9,lol_aal
aar,thi,9,aar_thi
vib,aar,9,vib_aar
vib,lol,8,vib_lol
aal,thi,8,aal_thi
lol,thi,7,lol_thi
thi,aar,7,thi_aar
lol,vib,6,lol_vib
thi,aal,6,thi_aal
lol,ode,4,lol_ode
vib,aal,4,vib_aal_ode
aal,ode,4,vib_aal_ode
thi,vib,3,thi_vib
aal,vib,3,aal_vib_ode
vib,ode,3,aal_vib_ode
ode,aar,3,ode_aar_aal
aar,aal,3,ode_aar_aal
aar,vib,3,aar_vib_aal
vib,aal,3,aar_vib_aal
vib,lol,3,vib_lol_thi
lol,thi,3,vib_lol_thi
vib,aar,3,vib_aar_aal
aar,aal,3,vib_aar_aal
aal,ode,2,aal_ode_aar
ode,aar,2,aal_ode_aar
aal,thi,2,aal_thi_aar
thi,aar,2,aal_thi_aar
aal,vib,2,aal_vib_aar
vib,aar,2,aal_vib_aar
ode,aal,2,ode_aal_thi
aal,thi,2,ode_aal_thi
ode,vib,2,ode_vib_aar
vib,aar,2,ode_vib_aar
ode,aal,2,ode_aal_vib
aal,vib,2,ode_aal_vib
aar,vib,2,aar_vib_lol
vib,lol,2,aar_vib_lol
aar,aal,2,aar_aal_lol
aal,lol,2,aar_aal_lol
aal,aar,2,aal_aar_vib
aar,vib,2,aal_aar_vib
vib,aal,2,vib_aal_thi
aal,thi,2,vib_aal_thi
lol,vib,2,lol_vib_aar
vib,aar,2,lol_vib_aar
aar,ode,2,aar_ode_aal
ode,aal,2,aar_ode_aal
aar,aal,1,aar_aal_thi
aal,thi,1,aar_aal_thi
vib,lol,1,vib_lol_ode
lol,ode,1,vib_lol_ode
lol,aal,1,lol_aal_ode_aar
aal,ode,1,lol_aal_ode_aar
ode,aar,1,lol_aal_ode_aar
lol,vib,1,lol_vib_aal_ode
vib,aal,1,lol_vib_aal_ode
aal,ode,1,lol_vib_aal_ode
lol,thi,1,lol_thi_aal
thi,aal,1,lol_thi_aal
aal,vib,1,aal_vib_ode_thi
vib,ode,1,aal_vib_ode_thi
ode,thi,1,aal_vib_ode_thi
aal,thi,1,aal_thi_vib
thi,vib,1,aal_thi_vib
lol,aal,1,lol_aal_thi
aal,thi,1,lol_aal_thi
ode,aar,1,ode_aar_aal_thi
aar,aal,1,ode_aar_aal_thi
aal,thi,1,ode_aar_aal_thi
aal,ode,1,aal_ode_vib_aar_lol
ode,vib,1,aal_ode_vib_aar_lol
vib,aar,1,aal_ode_vib_aar_lol
aar,lol,1,aal_ode_vib_aar_lol
aar,aal,1,aar_aal_thi_lol_vib_ode
aal,thi,1,aar_aal_thi_lol_vib_ode
thi,lol,1,aar_aal_thi_lol_vib_ode
lol,vib,1,aar_aal_thi_lol_vib_ode
vib,ode,1,aar_aal_thi_lol_vib_ode
thi,ode,1,thi_ode_aar
ode,aar,1,thi_ode_aar
aal,lol,1,aal_lol_ode_thi
lol,ode,1,aal_lol_ode_thi
ode,thi,1,aal_lol_ode_thi
lol,vib,1,lol_vib_thi
vib,thi,1,lol_vib_thi
aal,vib,1,aal_vib_aar_lol
vib,aar,1,aal_vib_aar_lol
aar,lol,1,aal_vib_aar_lol
aar,ode,1,aar_ode_vib_aal
ode,vib,1,aar_ode_vib_aal
vib,aal,1,aar_ode_vib_aal
ode,vib,1,ode_vib_lol
vib,lol,1,ode_vib_lol
aar,vib,1,aar_vib_lol_thi_aal
vib,lol,1,aar_vib_lol_thi_aal
lol,thi,1,aar_vib_lol_thi_aal
thi,aal,1,aar_vib_lol_thi_aal
