,original_title,translated_title,author,article_id,date,text
0,Maanedsskrift for Christendom og Historie,Monthly Journal for Christianity and History,J. Ch. Lindberg,aal_082394,1831-02-17,"Følgende nye Skrifter faaes hos Undertegnede: Maanedsskrift for Christendom og Historie, udgivet af J. Ch. Lindberg, 1 B. 3 H., 3 Mk., eller 3 Hefter 9 Mk. Subskription modtages. - Politiske Betragtninger med Blik paa Danmark og Holsteen, af Grundtvig, 2det uforandrede Oplag. 2 Mk. - Om Magnettens Forhold til sine Poler, af Aschlund. 24 s. - Reise- og Skrivecalender. 36 s. - Almanaker for 1831. 10 s. Rottbøll Sadolin."
1,Politiske Betragtninger med Blik paa Danmark og Holsteen,Political Considerations with a View to Denmark and Holstein,Grundtvig,aal_082394,1831-02-17,"Følgende nye Skrifter faaes hos Undertegnede: Maanedsskrift for Christendom og Historie, udgivet af J. Ch. Lindberg, 1 B. 3 H., 3 Mk., eller 3 Hefter 9 Mk. Subskription modtages. - Politiske Betragtninger med Blik paa Danmark og Holsteen, af Grundtvig, 2det uforandrede Oplag. 2 Mk. - Om Magnettens Forhold til sine Poler, af Aschlund. 24 s. - Reise- og Skrivecalender. 36 s. - Almanaker for 1831. 10 s. Rottbøll Sadolin."
2,Om Magnettens Forhold til sine Poler,On the Magnet's Relation to its Poles,Aschlund,aal_082394,1831-02-17,"Følgende nye Skrifter faaes hos Undertegnede: Maanedsskrift for Christendom og Historie, udgivet af J. Ch. Lindberg, 1 B. 3 H., 3 Mk., eller 3 Hefter 9 Mk. Subskription modtages. - Politiske Betragtninger med Blik paa Danmark og Holsteen, af Grundtvig, 2det uforandrede Oplag. 2 Mk. - Om Magnettens Forhold til sine Poler, af Aschlund. 24 s. - Reise- og Skrivecalender. 36 s. - Almanaker for 1831. 10 s. Rottbøll Sadolin."
3,Reise- og Skrivecalender,Travel and Writing Calendar,NO_AUTHOR,aal_082394,1831-02-17,"Følgende nye Skrifter faaes hos Undertegnede: Maanedsskrift for Christendom og Historie, udgivet af J. Ch. Lindberg, 1 B. 3 H., 3 Mk., eller 3 Hefter 9 Mk. Subskription modtages. - Politiske Betragtninger med Blik paa Danmark og Holsteen, af Grundtvig, 2det uforandrede Oplag. 2 Mk. - Om Magnettens Forhold til sine Poler, af Aschlund. 24 s. - Reise- og Skrivecalender. 36 s. - Almanaker for 1831. 10 s. Rottbøll Sadolin."
4,Almanaker for 1831,Almanacs for 1831,NO_AUTHOR,aal_082394,1831-02-17,"Følgende nye Skrifter faaes hos Undertegnede: Maanedsskrift for Christendom og Historie, udgivet af J. Ch. Lindberg, 1 B. 3 H., 3 Mk., eller 3 Hefter 9 Mk. Subskription modtages. - Politiske Betragtninger med Blik paa Danmark og Holsteen, af Grundtvig, 2det uforandrede Oplag. 2 Mk. - Om Magnettens Forhold til sine Poler, af Aschlund. 24 s. - Reise- og Skrivecalender. 36 s. - Almanaker for 1831. 10 s. Rottbøll Sadolin."
5,Jllade,Iliad,Homer,aal_027857,1822-07-11,"Homers Jllade 3die og 4de Sang, v. Meisling og Petersen. Kbhvn. 1810. loctatis Fanegyricus c. Mori. Lipa. 1804."
6,Fanegyricus c. Mori,NO_TRANSLATION,Lipa,aal_027857,1822-07-11,"Homers Jllade 3die og 4de Sang, v. Meisling og Petersen. Kbhvn. 1810. loctatis Fanegyricus c. Mori. Lipa. 1804."
7,"flyvende politiske Blade, Nr. 2","Flying Political Leaves, No. 2",Ditlev Gothardt Monrad,aal_137732,1840-03-05,"Bekjendtgjørelser. At Magister artium. Ditlev Gothardt Monrad, under Dags Dato er sat under Action for Overtrædelse af Trykkefrihedslovgivningen med Hensyn til Jndholdet af et af ham udgivet Skrift, betitlet: flyvende politiske Blade, Nr. 2, det bekjendtgjøres herved i Overeensstemmelse med Forordn. 27de Septbr. 1799 8 18."
8,Fostbrødrene,The Foster Brothers,Oehlenschlager,aal_044209,1825-01-12,"Fredagen den 14de Januar om Aftenen Kl. 6 opføres til Benefice for Hr. Packness: Fostbrødrene, Sørgespili fem Acter af Oehlenschlager. Til Slutning: en Epilog. Billetterne faaes hos Hr. Packness, logerende hos Karethmagermester Hansen paa Klosterjorden."
9,Bønnen som læses ved Ungdommens Confirmation,The Prayer Read at the Youth's Confirmation,NO_AUTHOR,aal_010648,1819-09-29,"Paa Addresse-Contoiret faaes: Bønnen som læses ved Ungdommens Confirmation, aftrykt paa fint Papiir og smukt indbunden 16 s.; paa Trykpapiir i couleurt Omslag, 8 s.; i blaat Omslag 6 s."
