,original_title,translated_title,author,article_id,date,text
0,Geographie for Ungdommen,Geography for Youth,Fabris and Gaspari,lol_000038,1809-03-07,"Paa Addresse-Contoiret i Mariboe bekommes følgende Bøger tilkjøbs: Geographie for Ungdommen, efter Fabris og Gasparis nyeste Jordbeskrivelse. Giennemseet af J. Kjerulf. Andet Oplag. Kbh. 1805, 1 Rd. 5 Mk. 8 s. nidb. Poesier af J. Smith, 1ste Bind. Kbhavn 1807. 1 Rd. 1 Mk. indb. Peder Greve af Griffenfeldts Fortjenester. af Kongehuus og Fædreneland, som Oversecretair og Rigsranzler under Dannekongerne Frid, den 3die og Chr. den 5te ved G. L. Baden. Kbh. 1808. 5 Mk. uindb."
1,Poesier,Poems,J. Smith,lol_000038,1809-03-07,"Paa Addresse-Contoiret i Mariboe bekommes følgende Bøger tilkjøbs: Geographie for Ungdommen, efter Fabris og Gasparis nyeste Jordbeskrivelse. Giennemseet af J. Kjerulf. Andet Oplag. Kbh. 1805, 1 Rd. 5 Mk. 8 s. nidb. Poesier af J. Smith, 1ste Bind. Kbhavn 1807. 1 Rd. 1 Mk. indb. Peder Greve af Griffenfeldts Fortjenester. af Kongehuus og Fædreneland, som Oversecretair og Rigsranzler under Dannekongerne Frid, den 3die og Chr. den 5te ved G. L. Baden. Kbh. 1808. 5 Mk. uindb."
2,Peder Greve af Griffenfeldts Fortjenester,Peder Greve of Griffenfeldt's Merits,NO_AUTHOR,lol_000038,1809-03-07,"Paa Addresse-Contoiret i Mariboe bekommes følgende Bøger tilkjøbs: Geographie for Ungdommen, efter Fabris og Gasparis nyeste Jordbeskrivelse. Giennemseet af J. Kjerulf. Andet Oplag. Kbh. 1805, 1 Rd. 5 Mk. 8 s. nidb. Poesier af J. Smith, 1ste Bind. Kbhavn 1807. 1 Rd. 1 Mk. indb. Peder Greve af Griffenfeldts Fortjenester. af Kongehuus og Fædreneland, som Oversecretair og Rigsranzler under Dannekongerne Frid, den 3die og Chr. den 5te ved G. L. Baden. Kbh. 1808. 5 Mk. uindb."
3,Geographie for Ungdommen,Geography for Youth,Fabris and Gaspari,lol_000109,1809-03-17,"Maskeradeballet i Dannemark 1808. Et Syn af N. F. S. Grundtvig, Kbh. 1808, 12 s. indb. Geographie for Ungdommen, efter Fabris og Gasparis nyeste Jordbeskrivelse. Gjennemseet af J. Kjerulf. Andet Oplag. Kbh. 1805, 1 Rd. 5 Mk. 8 s. nidb. Poester af J. Smith, 1ste Bind. Kbhavn 1807. 1 Rd. 1 Mk. indb. Peder Greve af Griffenfeldts Fortjenester. af Kongehuus og Fædreneland, som Oversecretair og Rigscanzler under Dannekongerne Frid, den 3die og Chr. den 5te ved G. L. Baden. Kbh. 1808, 5 Mk. uindb."
4,Poester,Poems,J. Smith,lol_000109,1809-03-17,"Maskeradeballet i Dannemark 1808. Et Syn af N. F. S. Grundtvig, Kbh. 1808, 12 s. indb. Geographie for Ungdommen, efter Fabris og Gasparis nyeste Jordbeskrivelse. Gjennemseet af J. Kjerulf. Andet Oplag. Kbh. 1805, 1 Rd. 5 Mk. 8 s. nidb. Poester af J. Smith, 1ste Bind. Kbhavn 1807. 1 Rd. 1 Mk. indb. Peder Greve af Griffenfeldts Fortjenester. af Kongehuus og Fædreneland, som Oversecretair og Rigscanzler under Dannekongerne Frid, den 3die og Chr. den 5te ved G. L. Baden. Kbh. 1808, 5 Mk. uindb."
5,Peder Greve af Griffenfeldts Fortjenester,Peder Greve of Griffenfeld's Merits,G. L. Baden,lol_000109,1809-03-17,"Maskeradeballet i Dannemark 1808. Et Syn af N. F. S. Grundtvig, Kbh. 1808, 12 s. indb. Geographie for Ungdommen, efter Fabris og Gasparis nyeste Jordbeskrivelse. Gjennemseet af J. Kjerulf. Andet Oplag. Kbh. 1805, 1 Rd. 5 Mk. 8 s. nidb. Poester af J. Smith, 1ste Bind. Kbhavn 1807. 1 Rd. 1 Mk. indb. Peder Greve af Griffenfeldts Fortjenester. af Kongehuus og Fædreneland, som Oversecretair og Rigscanzler under Dannekongerne Frid, den 3die og Chr. den 5te ved G. L. Baden. Kbh. 1808, 5 Mk. uindb."
6,Maskeradeballet i Dannemark,The Masquerade Ballet in Denmark,N. F. S. Grundtvig,lol_000109,1809-03-17,"Maskeradeballet i Dannemark 1808. Et Syn af N. F. S. Grundtvig, Kbh. 1808, 12 s. indb. Geographie for Ungdommen, efter Fabris og Gasparis nyeste Jordbeskrivelse. Gjennemseet af J. Kjerulf. Andet Oplag. Kbh. 1805, 1 Rd. 5 Mk. 8 s. nidb. Poester af J. Smith, 1ste Bind. Kbhavn 1807. 1 Rd. 1 Mk. indb. Peder Greve af Griffenfeldts Fortjenester. af Kongehuus og Fædreneland, som Oversecretair og Rigscanzler under Dannekongerne Frid, den 3die og Chr. den 5te ved G. L. Baden. Kbh. 1808, 5 Mk. uindb."
7,Poesier,Poems,J. Smith,lol_000189,1809-03-28,"Maskeradeballet i Dannemark 1808. Et Syn af N. F. S. Grundtvig Kbh. 1808, 12 s. indh. Poesier af J. Smith, 1ste Bind. Kbhavn 1807. 1 Rd. 1 Mk. indb."
8,Niels Klims underjordiske Reise,Niels Klim's Underground Journey,L. Holberg,lol_000476,1809-05-09,"Paa Addresse-Contoiret i Mariboe er pr. Commission til Salg et nitid Exemplar af Pragt-Udgaven af Niels Klims underjordiske Reise ved L. Holberg. Oversat efter den lanske Original af Jens Baggesen Kbh. 1789, m. sine Kobb. Prisen er 4 Rd. D. C. Hr. Lientenant K. H. Seidelins Opfordring til Lollands og Falsters Jndbyggere, at tilberede raae Salpeter, med Prosessor Maschmanns Underretning om Salpeters Tilvirkning, kan paa Addresse-Contoiret. i Mariboe bekommes gratis."
9,Peder Greve af Griffenfeldts Fortjenester,Peder Greve of Griffenfeldt's Merits,G. L. Baden,lol_000527,1809-05-16,"Paa Mariboe Adresse-Contoir kan følgende Bøger bekommes tilkjøbs. Peder Greve af Griffenfeldts Fortjenester. af Kongehuus og Fædreneland, som Oversecretair og Rigscanzler under Dannekongerne Frid, den 3die og Chr. den 5te ved G. L. Baden. Kbh. 1808, 5 Mk. uindb. Geographie for Ungdommen, efter Fabris og Gasparis nyeste Jordbeskrivelse. Giennemseet af J. Kjerulf. Andet Oplag. Kbh. 1805, 1 Rd. 5 Mk. 9 s. indb."
