;article_id;date;predicted_category_tf_idf;evaluation_tf_idf;predicted_category_embs;evaluation_embs;category;true_label;bog_teater;text
55097;aal_055098;1826-08-17;Jndenlandsk;t;Jndenlandsk;t;Kjøbenhavn.;;;J Nærheden heraf er opkommet en Jordbrand, som formedelst den overordentlige Tørke og vedholdende Varme, har udbredt sig noget, hvortil den fortørrede Jordskorpe og de derpaa værende Planter frembyde rigelig Næring. Man har nu begyndt ved Gravning at begrændse denne Jordbrand og at standse dens videre Udbredelse. For nylig opkom Jld paa Landstedet Dalsborg, enhalv Miil herfra Byen, men ved Sprøiter og hurtig tillende Hjælp herfra blev den hastig standset. Formedelst den tæt op til denne Gaard stødende Naaletræskov Egebeksvangs Nærhed ved Brandstedet, var man ikke uden Frygt for en større Ulykke.
142457;aal_142458;1840-12-05;Jndenlandsk;t;Bekjendtgjørelser;t;Bekjendtgjørelser;;;Ved Auctionen, Torsdagen den 10de dennes, i Stedet Nr. 135 ved Vesteraa, vil tillige blive bortsolgt endeel, Tid efter anden, her paa Politikammeret indleverede fundne Sager, hvis Eierne ikke forinden legitimere sig. Aalborg Politikammer, den 3die December 1810. Wølfferdt.
70491;aal_070492;1829-03-04;Udenlandsk;t;Udenlandsk;t;Blandinger;;;En Kok i Paris har taget Livet af sig, fordi man ved en Dine havde dadlet hans Saucer. (Det kan Skjøndt den nylig i Berlin stedfundne Duel har fremkaldt Kongens strenge Forbud, har der senere atter fundet Duel Sted i Berlin. Cours. Hamborg den 27de Februar. Bordeaux 188. Petersborg 9 1 1/2 s. London 13 Mk. 7 1/2, k. S. 13 Mk. 9. Lissaden 41 3/4. Amsterdam. 35, 80, 2 M. 35, 180. Kjøbenhavn 206. Spe. 2/5 A. Disconto -
146810;aal_146811;1841-08-10;Udenlandsk;t;Udenlandsk;t;Nyeste Post-Efterretninger;;;Det hollandske Blad, Tolk der Vryheid, med hvilket der formedelst politiske Presseforseelser var anlagt Sag. og hvis Udgiver, Hr. Bolt, var dømt til fleetaarig Fængselsstraf, melder, at Kongen ved en af sine Adjutanter har forkyndt Fru Bolt hendes Mands Benaadning. Det demokiatiske Blad roser i denne Anledning med nogle enthusiastiske Ord Kongens Menneskelighed.
155768;aal_155769;1842-12-07;Jndenlandsk;t;Jndenlandsk;t;Fædrelandet;;;"J Sagen: Postholder Prahl, for, imod ProviHarms Villie, tilligemed Flere at have afsjungen en Sang ved en Piges Grav og hvorfor den Kielske Politiret idømt Prahl i en Mulct af 24 Rbd., har Overretten i Glück stadt nu afgivet følgende Kjendelse: ""Da der i nærværende Tilfælde i det Hele ingen Forseelse foreligger, saa er den af Politiretten tilkjendte Mulct atter at ophæve."" (Dv.) Aalborg, den 7de Decbr. Stænderforsamlingen, Sagen og stænderske Committeer. (Sluttet fra igaar.) Sognefoged Jacobsen fandt, uden at ville miskjende Kongens gode Hensigt, Stændercommitteerne utilraadelige. ""Jeg har – yttrede han i Regjeringens Forslag om stænderske Committeer troet at see et Afslag paa Stændernes i 1840 indgivne Petition ang, en friere Udvikling af Samfundsforholdene m.v., ja endog et Tilbageskridt fra det i den nævnte Petition tilsigtede Maal, idet de Delegeredes Valg skulde være betinget af kongelig Sanction. Jmidlertid har den kgl. Commissarii Foredrag noget hævet denne min Formening, men jeg kan dog ikke fravige den Anskuelse, at de stænderske Committeer, ved at ordnes paa den af Regjeringen antydede Maade, ville svække de nuværende Stænders Betydning, saavelsom og at de mindre Landeiendomsbesiddere derved vilde blive altfor svagt repræsenterede, Den ærede Committee, som her har bearbeidet denne Sag har, som dens Betænkning udviser, gjort endeel bemærkninger og Henstillinger, som efter min Formening ere meget hensigtsmæssige, og hvis dertil endvidere maatte føies det afGodseier Nyholm forbeholdte Amendement, da skulde jeg meget gjerne stemme for stænderske Committeer, paa den af Committeen betegnede Maade. Hvis disse Committeer imidlertid under hvilkensomhelst Skikkelse skulde blive anbefalede, da formener jeg, at deres Organisation ligger altfor meget det Fjerne. Jeg har nemlig tænkt mig, at et af deres første og vigtigste Foretagender kunde blive, at ordne og udjævne det mislige Forhold imellem Kongeriget og Hertugdømmerne; men hvis der skal gaaes frem paa den sædvanlige Maade, saa at et Lovudkast først om 2 Aar forelægges, og derpaa 2 Aar derefter foregaaer Valg og siden Jndkaldelse, befrygter jeg meget, at de nævnte Forhold ikke meere staae til at ordne. Da det saaledes i denne saavelsom i flere andre Henseender er ønskeligt, at en hurtigere Organisation kunde finde Sted, skulde jeg tillade mig at forbeholde mig et Amendement i denne Retning."" Schiørt sluttede sig i det Væsentlige til Committeens Betænknig, dog med den Modification, at han finder, at det Valg, der er tilstaaet Forsamlingen, er for udvidet, og det, som skulde tilkomme Hans Majestæt, for indskrænket. Jøvrigt ønskede han en friere Udvikling af vore Forhold, som ved StænderCommitteerne skulde forberedes. Hvis Committeen ikke stu de ville gaae ind paa hans Forslag, maatte han i den Henseende forbeholde sig et Amendement. Tang holder ei af at takke, uden hvor han finder fuld Grund dertil; han holder ei at, at hænge Takken som en Nødvendigheds-Artikel ved visse festlige Leiligheder, ei af at takke ved hvert Goddag og Farvel; men han holder meget af at takke, naar der er Erund til Taksigelse"" og med Friis maatte han erkjende, at i Committeens Betænkning en hjerteligere Tak paa en kraftigere Maade kunde være udtalt."" Hvad selve Sagen angaaer, da finder han, at saaledes som den nu af Committeen er foreslaaet, kunne vi idet mindste ingen Frygt have for de stænderske Committeer, hvad enten vi høre til denne eller hin politiske Tro, og han holder for, at vi ingenlunde tør støde dem fra os, naar de blive provisoriske. Men provisorisk, aldeles provisorisk, formener han Jnstitutionen, maa blive, saa provisorisk, at den efter en bestemt Tid ophører, hvis den ei ved Petition fra Stænderne bliver forlangt at maatte blive bestaaende. Van Deurs kunde uagtet alt, hvad der er anført for de stænderske Committeer, ikke indsee andet, end at Stænderinstitutionen derved vil svækkes og han maatte derfor stemme derimod. Fønss tiltraadte Committee-Betænkningen og indsaae ingenlunde, hvorfor Bondestanden skulde repræsenteres stærkere end de andre Classer, da han formoder, at den vil have megen Vanskelighed ved at vælge de 2 Delegerede, som ere tillagte den, ligesom de andre Classer, af dens egen Midte. Lüttichau maatte i Anledning af disse Yttringer bemærke, at han troer, at en Bonde, naar han er en oplyst Mand, meget vel vil egne sig til at indtræde i Stændercommitteerne, og han mener, at der i Forsamlingen haves flere af denne Stand, som dertil maae ansees for velskikkede. Exam. jur. Worm: Det kan vel ikke nægtes, at Nationen følte sig skuffet ved at erfare, at Hans Majestæt, istedetfor at gaae ind paa Petitionen af 1840, har indskrænket sig til, ved den kgl. Commissarius at lade antyde et Grundrids, hvorefter stænderske Committeer skulle være at oprette. At disse ikke have fundet Sympathie hos Folket, er ofte udtalt, ligesom dette er vedkjendt i det af mig indgivne Andragende fra mine Vælgere, som indeholder en Protest imod de stænderske Committeer, idet de antage disse for skadelige og Stænderinstitutionen hæmmende, hvis de oprettes paa den af Regjeringen foreslaaede Maade. Dette har jeg ogsaa fundet bestyrket ved Commiteebetænkningen, til hvis Yttringer imod den kgl. Commissarii Meddelelse jeg ikke kan andet end henholde mig. Derhos maa jeg imidlertid ogsaa erklære, at jeg ved det Afslag, som Folket erholdt paa de i 1840 indgivne Petitioner og Stændernes Forening og en friere Udvikling af Samfundsforholdene, finder mig foranlediget til at gribe ethvert lovligt, om end nok saa ubetydeligt Middel, hvorved man kunde vente noget udrettet i den constitutionelle Retning. Saaledes som Committeen har fremsat sit Forslag, troer jeg, at Stændercommitteerne netop kunne virke i den af mig nævnte Retning, og da jeg tillige venter, at der skal tillægges dem Jndflydelse paa Finantsernes Bestyrelse, samt da de herefter kun skulle indføres provisorisk, troer jeg, at en saadan Jnstitution er det Bedste, som man fortiden er istand til at opnaae. Jeg tiltræder derfor Committeebetænkningen, dog med det Ønske, at Godseier Nyholms Yttring om en fri Constitution maa optages paa et passende Sted i denne. Jøvrigt skal jeg blot henstille til Committeen, om den ikke, idet den yttrer Haabet om, at der ikke vi blive fordret kgl. Approbation paa Valget af de Deelegerede, maatte finde Anledning til at udtale, at Opfyldelser, af dette Haab maa ansees for en ufravigelig betingelse for den nye Jnstitutions Jndførelse. J fornødent Faldmaa jeg i denne Henseende forbeholde mig et Amendement, Schou stemte for Committeens Betænkning og Wandborg derimod. Qvist stemte for provisorisk Jndførelse, af Stændercommitteer. Grønbeck stemte ogsaa for Committeforslaget. Wulff meente, at man først kan fælde en rigtig Dom over de stænderske Committeer, naar et Lovudkast forelægges. Fraraade de stænderske Committeers provisoriske Jndførelse vil Forsamlingen vel neppe, ei heller antage dem for Endemaalet for Nationens Ønsker, men snarere ansee dem som et Led i Skjæbnens Kjæde, der vil hæfte sig til det bestaaende og senere knytte sig til det Attraaende, til en friere Udvikling af Statsforholdene, og vil Hs. Majestæt i sin Viisdom vistnok finde Udvei til at føre sit Folk en lykkelig Fremtid imøde."" Forøvrigt sluttede han sig til Commiteebetænkningen, saavelsom til de Flere, der have udtalt sig for en Tidsbestemmelse for Stændercommitteernes provisoriske Varighed. Kofter: Jeg maa i det Væsentlige tiltræde Committeebetænkningen, men nærer dog en Betænkelighed, som jeg har dvælet med at fremføre, og som jeg nu maa frygte for er mindre velbegrundet, eftersom den ikke er bleven udtalt af nogen Anden. Det forekommer mig nemlig, at Committeerne ikkun bør være specielle for visse forud opgivne Øiemeed, naar Stændercommitteerne skulle behandle enkelte vigtige Sager, maatte Stænderne ved hvert Valg af Delegerede underrettes om, hvilke disse Sager vilde blive, for at derpaa ved Valget kunde tages Hensyn. Naar her i Forsamlingen vælges Medlemmer af Committeer, da vælger man ikke udelukkende dertil saadanne Mænd, som ere udmærkede ved Kundskaber eller Talenter, men ogsaa saadann, som efter deres tidligere Uddannelse maae antages at være meest inde i den Sag, hvorom der handles, og istand til herom at fremsætte en Anskuelse, som Forsamlingen kan tiltræde. Det Samme maatte vist være Tilfældet, naar Hs. Maj. ønsker at høre Stændercommitteernes Raad over saadanne Sager, som kunne angaae de vigtigste Statsforhold. Forsamlingen maa først vide, til hvilket Øiemeed den har at vælge sine Deelegerede, og først naar dette er givet, vil den med Ti id see hen til de Udvalgte. Det skulde glæde mig, dersom jeg ogsaa kunde see denne Betænkelighed hævet, da jeg saa saameget villigere kunde slutte mig til Committeebetænkningen i dens Heelhed. Jeg veed vel, at Committeerne ville blive at vælges til visse staaende Anliggender, som bestandig ere tilstede, saasom Finantsanliggenderne; men der vil ogsaa blive forelagt omvexlende Sager, der ikke igjen komme tilbage. Jeg har troet, at der maaskee kunde være en staaende Finantscommittee og specielle Committeer til andre Sager. Om denne min Anskuelse skulde kunne underordnes og optages i Committeens Forslag, maa jeg henstille. Jmidlertid maa jeg, idet jeg iøvrigt henholder mig til Committeen, navnlig hvad Forslaget angaaer, at det nye Jnstitut ialtfald kun skal være provisorisk, tillade mig at yttre, at jeg har tænkt mig et Amendement, omtrent af følgende Jndhold. At det maatte behage Hans Majestæt til Betænknings Afgivelse over sær vigtige, hele Staten eller flere Provindser vedkommende, og ialmindelighed ikke under Stændernes Ressort hørende, men hvergang for Forsamlingerne opgivne Anliggender, at befale Stænderne at udvælge Udskud af deres egen Midte, som i saadant Øiemeed have at træde i Virksomhed i en vis Periode af Tiden, indtil den næstpaafølgende Stænderforsamling sammentræder."" Betzer erklærede at ville tiltræde Committeebetænkningen med det af Nyholm stillende Amendement, at efter visse Aars Forløb en fri Forfatning maa indtræde. ""J modsat Fald – sagde han troer jeg Forsamlingen handlede rigtigst i, ganske at fraraade de stænderske Committeer, og derimod tilraade, at Hans Majestæt lod sammentræde en Commission bestaaende af saakyndige og fædrelandssindede Mænd, ligemange fra Holsteen, Slesvig, Østifterne og Jylland, hvis Bestemmelse maatte være at undersøge, hvorledes de uheldige Forhold, som for en Deel fjerne Hertugdømmene fra Kongeriget, samt andet, der staaer i Veien for Hans Majestæts landsfaderlige Hensigt at føre Jnstitutionen en friere Udvikling imøde"", snarest kunne fjernes eller udjævnes. Paa denne Maade troer jeg, at Kongens Hensigt snarest og sikkrest naaes, og der behøves saaledes ingen Forandring i Stændernes nærværende Jndretning, forinden dette kan skee til det Bedre; jeg maa desaarsag forbeholde mig, om fornødent i denne Retning at stille et Amendement."" Dalgas vilde kun tilføie, at de Fordeele og Goder, som han har ventet sig af Stændercommitteernes Jndførelse, ere blevne ham mindre klart, efterat den kgl. Commissarius har yttret Tvivl om at der iblandt de Delegerede skulde findes et tilstrækkeligt Antal Mænd med den Dygtighed, at de skulde være istand til at ordne Forholdenne mellem Statens forskjellige Deele. Jmidlertid opgiver han ugjerne den Tanke, at saadanne af Folket valgte Mænd, naar de bleve indviede i Statens Hemmeligheder, hvilket jo maatte skee, vilde være istand til at udfinde de Midler, som kunne føre os til det attraaede Maal. Med saadan Fortrøstning vil han slutte sig til det af Nyholm stillede Amendement, og, hvis dette antages, stemmefor Committeebetænkningen. Jensen holdt sig til det afKøfter stillede Amendement. Commissarius forbeholdt sig de saa bemærkninger, han endnu kunde have at gjøre, i Anledning af hvad der er fremkommet under Forhandlingerne, til den endelige Behandling. Ogsaa den nye Eier af Heiselt i Vendsyssel, Hr. I. U. Pape, har gjort sit Godses Bønder til Selveiere og det endog paa de særdeles billige Vilkaar, at de aldeles ingen Udbetaling behøve at gjøre, ligesom de ogsaa have faaet deres Gaarde til billige Priser og nu ere løste fra det strænge Hoveri, der tidligere hvilede paa dem. For kort Tid siden indtraf her det Uheld, at en Fjordskipper faldt overbord fra sit i Østeraa beliggende Fattøi. Ved en Tilstedeværendes (Hr. Kjøbmand Chr. Nielsens Raskhed blev han selv hurtigt trukket op, men med Forliset af sin Tegnebog, hvori befandtes noget over 150 Rbdlr., hvilket naturligviis for en Mand i denne Stillingudgjorde et betydeligt Tab. Alle Forsøg, bleve anvendte paa at tilveiebringe det Tabte, et Fiskevaad blev udsat ofve, men Alt forgiæves, da Strømmen sandsynligviis strax havde bortført Tegnebogen. Først adskillige Dage senere havde en Arbeidsmand, som var beskjæftiget med at sprede Gjødning paa en af de østligt ved Fjorden beliggende, af Byen fordagtede, Eiendomme, øinet Tegnebogen, der stak frem af noget ved Stranden opdrevet Tang, og hvori han ogsaa, paa nogle ødelagte Rigsdalersedler nær, havde forefundet hele Beholdningen. Den usalige Lyst til fremmed Eie øvede imidlertid ogsaa her sin Jndflydelse, idet Finderen, istedetfor at oplyse Fundet, satte sig i Besiddelse heraf og allerede havde udgivet nogle af Pengene, indtil ved tilfældig Leilighed Mistanke opstod og Sagen anmeldtes for Politiet, for hvilket ogsaa Finderen har bekjendt Alt."
4523;aal_004524;1818-10-19;Jndenlandsk;t;Jndenlandsk;t;Indenlandske Efterretninger.;;;"Hvorvidt man nu omstunder kan drive sin Forsigtighed, i Pengesager, udviser et Avertissement, som forleden læstes i Randers Avis, hvori Herr Worre advarer Publicum, at ikke lade sig overdrage en vis af ham udstedt Obligation, da samme aldrig kan ventes betalt. Frederikshavn. (57030 N. Br. 2612 P. L.) Paa Stranden i Flade=Sogn, Venneberg (nu Horns) Herred i Vensyssel, 1 3/4 Miil fra Sæby, 4 fra Hiørring, 5 fra Skagen og 9 fra Aalborg, have Fiskerne fra gamle Tider havt et Fiskerleie, som efter Sognets Navn blev kaldet Fladstrand. Adskillige Grunde og Holme herudenfor danne det saakaldte Løb, som er en Rende med god Ankerbund, paa 3 til 4 Favne. Denne Red har været af Vigtighed og er bleven meget afbenyttet i Orlogstider, for derved at sikkre Samfærslene med Norge, og allerede i Frederik den Tredies Tid blev derfor, paa den norderste, af tvende ved Byen fremragende Odder, anlagt en Skandse til Forsvar og Beskyttelse for Stedet. Der er nu en simpel Stierneskandse, indrettet for endel Aar siden, og førende Navn af Moltkes Skandse, efter H. Ex., daværende General von Moltke i Aalborg. - J Aaret 1687 anlagdes en Skandse med et rundt Taarn paa den søndre Odde, hvilken 1712 mod Landsiden forgedes med Linier, i Skikkelse af et Hornværk, med lave Batterier, bestemt til at bestryge Havnen, det er, til at holde en Landings-Transport ude, saavelsom og at beskytte et der samlet Krigs- og Mund-Forraad for smaa Anfald. Paa samme Tid anlagdes en Redoutepaa Holmen Deget, en Fierdingvei ude fra Stranden. Allerede fra det første Fæstningsanlæg er Folkemængden tiltaget saaledes, at man alt 1688 maatte begynde paa Bygningen af en Kirke, som to Aar derefter indviedes og var siden Anner til Flade til 1811, da den blev afsondret derfra og forenedes med Hærsholmen, en liden ØiKattegattet. J Frederik den Fierdes Orlog mod Svensken, er Byen kommen endel frem til Velstand, da det jevnligen laae store Floder af Handelskibe, bestemte til Norge og andensteds, og oppebiede Convoy paa Fladstrands Red. Ogsaa gik stedse Postjagterne saavelsom alle kongelige Krigs-Førselskibe til Norge, over Fladstrand. J Farvandet deromkring pleiede Tordenskjold meget at holde sig, for at passe paa Svenskerne. Disse Fordeele har sikkert gjort Byen ligesaa velhavende dengang, som den nogensinde siden har været. 1733 indrettedes ved Fladstrand et ordentligt kongeligt Lodsvæsen. J Aaret 1748, altsaa for 70 Aar siden, solgte Cancelliraadinde Ahlefeldt hele Byen og al dens Grund og Herlighed for 4000 Rigsdaler Dansk Courant til Peder Hansen Høyer i Fladstrand. - 1803 fik Fladstrand sit eget Postcontoir og 1811 sin egen Præst. 1801 var Folkemængden 446. og under den sidste Orlog tog Fladstrand næsten ligesaa meget til, som det efter Freden er aftaget igien, og der bleve dengang opførte nogle nye Bygninger, som nu forfalde af Mangel paa Afbenyttelse. Byens Næringsveie ere Seilads og lidt Fiskerie, hvori dog det nærliggende Fiskerleie Bangsbostrand er voxet den langt over Hovedet; Lodsning, og noget lidt Handel, da Byen kuns har ubetydeligt Opland, og Havnen kun er brugbar for Baade og smaa Fartøier. Mangel paa tilstrækkelig Capital er ogsaa overalt i denne Tid er af de største Hindringer for Handelens Opkomst, saavel dersom i alle vore andre Kiøbstæder, selv Hovedstaden lunde undtagen. Landbruget er heel ubetydelige drives til Byen, da deels ikke er uden ganske det og dertil, og den deels endog kuns er meget ringe af Beskafenhed, sandig og stenfuld. Brænderie kan for nærværende Tid vel ingensteds drives med Fordeel, i vore Jydske Byer, for Flensborgernes Undersalg. De fleste Kiøbstædrettigheder har Fladstrand i Gierningen udøvet i Aarhundreder, uden egentlig at have havt Privilegiersaa at Byens fornemste Vinding ved den nu erholdte Kiøbstædrettighed er: Fritagelse for Værnepligt og forUdskrivning til Søtieneste, samt Navnets Forandring, fra Fladstrand til Frederikshavn, til taknemmeligt Minde om Hans Majestæts allernaadigste Velgierninger imod den."
61242;aal_061243;1827-07-28;Bekjendtgjørelser;t;Bekjendtgjørelser;t;Bekjendtgjørelser;;bog;"Marcus Tullius Cicero om Pligterne, fordansket og med Anmærkninger, meest historiske, forsynet. Af Amtsprovst Ridder J. Stochholm. (Til Brug især for den studerende Ungdom.) Bogen er 16 Ark stor og sælges godt indbunden, for 1 Rbd. hos Rottbøll Sadolin. Grosserer Jacob Holms fortrinlige Olie=Sæbe sælges fra i Dag til 24 Rbd. pr. Tønde, mod Contant. Aalborg, den 1ste Juli 1827. Rybsahm. Et Qvantum Bøge=Klovbrænde sendes mig efterhaanden til Forhandling, hvoraf en Ladning er arriveret, hvorom handles med . L. Bøggild. Nye Rughalm til meget nedsat Priis kan nu tinges hos L. Bøggild. Til Leie er at erholde i Bispensgade tvende smukke meublerede Værelser til Michaeli Flyttetid for en honet Person; Stiftsbogtrykkeriet anviser. Paa Veien fra Gunnerup til Aalborg er tabt en rød Fløiels Tobakspung, hvori var indlagt et Fyrtøi af Sølv. Den retsindige Finder bedes at aflevere samme paa Stiftsbogtrykkerier, imod en passende Findeløn."
94029;aal_094030;1832-11-24;Bekjendtgjørelser;t;Bekjendtgjørelser;t;Auctioner;;;Conditionerne, hvorunder, blandt andet, vil vorde bestemt, at contant Betaling fordres, hvis Jndcassator ikke maatte tillade, at Varerne udleveres mod den Credit, som disse ellers tilstaae sufficante bekjendte Kjøbere, ville paa Auctionsstedet nærmere vorde bekjendtgjorte. Læss, den 16de Novbr. 1832. C. M. R. Ørum, Auctionsdirecteur. Grundet paa Udlæg for resterende Skatter bliver det Jens Nielsen Toftelund tilhørende Sted, Nr. 78, paa Sæby Kjøbstæds søndre Gades østre Side, stillet til Salg ved trende Auctioner, som afholdes: 1ste Gang, Løverdagen den 8de December d. A., 2den Gang, Løverdagen den 22de samme Maaned, og 3die Gang, Løverdagen den 5te Januar 1833. De tvende første Auctioner vorde afholdte her paa Contoiret og sidste Auction paa den sælgende Eiendom, der bestaaer af et Forhuus, 8 Fag, af Bindingsværk, og belagt med Straatag, 2 Hauger og en liden Toft, hver Dags Formiddag Klokken 10, hvilket bekjendtgjøres til Lysthavendes Efterretning, og tillige i Overeensstemmelse med Placat af 22de April 1817. Byfoged-Contoiret i Sæby, den 9de November 1832.
142507;aal_142508;1840-12-08;Jndenlandsk;t;Jndenlandsk;t;Fædrelandet;;;(Jndsendt.) Ligesom Döden nylig bortkaldte af vor Midteen agtet Borger og stræbsom Ramiliefader, saaledes have vi i Löverdags lidt et smerteligt Tadi Fru Cancelliraadinde Mörch, vor Borgemesters elskelige Hustru, der efter langrarige Lidelser i en ung Alder maatte forlade Alt, hvad der var hende kjært. - Med Sandhed kunne vi sige, at vi have lidt et stort Tab ved hendes Bortgang : thi det er ei alene hendes dybtbedrøvede Ægtefælle og Börn, ei alene hendes mange Venner, der staae sörgende ved hendes Baare, det er ogsaa de talrige Fattige, hvis Taarer hunsom en kjærlig Moder i Stilhed aftörrede, den græde over Tabet af den altfor tidligt tabte Velgjörerinde. - Hendes Minde vil længe velsig 1. net leve i vor Frindring.
55221;aal_055222;1826-08-23;Jndenlandsk;t;Jndenlandsk;t;Blandinger.;;;"Fisker Christian Evensen af Aalborg udgik herfra den 18de August paa Fiskerie, og havde ikkun med sig sin otteaarige Søn; han indkom igjen den 20de med sin Fiskerqvase, fuld af levende Torsk. Et meere følgeværdigt Exempel end Vestfarerens Navigateur, der paa sin Hjemreise fra Kjøbenhavn anløb Skagen for at spørge Vei til Hals."
